Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[]",32.999249,0.0,16.9,0.0,0.0,0.9,0.0,22704681120,48385451520,0,0,0,0,7.225166,driverForGraphClustering,"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[](long const&)",stl_map.h,0x43ed2e
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end",30.855083,0.0,7.3,3.6,0.0,6.4,0.0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end(void)",stl_tree.h,0x43ed2e
__kmpc_atomic_float8_add,29.181587,78.6,13.7,19.4,10.3,60.5,0.0,576017280,96002880,48003360,0,0,0,387.000000,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
operator delete,29.076993,0.0,18.8,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,libstdc++.so.6.0.26,operator delete(void*),[Unknown],0xa3d60
clear_page_erms,27.821871,90.2,0.0,0.0,0.0,0.0,88.5,144004320,144004320,0,0,0,0,0.0,vmlinux,clear_page_erms,[Unknown],0xffffffffa883c070
unlink_chunk,24.762511,1.0,3.6,6.1,12.2,1.2,0.0,19344580320,5280158400,48003360,0,0,0,9.642857,libc-2.29.so,unlink_chunk,malloc.c,0x93760
parallelLouvianMethod$omp$parallel_for@237,24.317989,79.2,24.5,39.8,15.3,6.1,0.0,2784083520,1296038880,0,0,0,0,93.000000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x4322a0
tcache_put,22.069229,24.0,26.2,15.1,1.4,0.0,0.0,96002880,288008640,0,0,0,0,16.496894,libc-2.29.so,tcache_put,malloc.c,0x967bc
copy_user_enhanced_fast_string,22.043080,68.6,0.0,,28.3,,0.0,1104033120,384011520,0,0,0,0,29.428571,vmlinux,copy_user_enhanced_fast_string,[Unknown],0xffffffffa883c560
func@0x967a0,20.291139,0.0,26.7,0.0,0.0,0.0,0.0,50401512000,0,0,0,0,0,7.365591,libstdc++.so.6.0.26,func@0x967a0,[Unknown],0x967a0
plm_init$omp$parallel_for@285,19.506688,77.6,0.0,0.0,0.0,0.0,26.0,0,1152034560,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x433660
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator++",15.689025,41.4,0.0,4.4,11.1,33.3,0.0,0,33361000800,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator++(int)",stl_tree.h,0x43f751
unlink_chunk,15.349096,23.3,14.9,0.0,24.2,1.9,0.0,12816384480,23520705600,0,0,0,0,7.204545,libc-2.29.so,unlink_chunk,malloc.c,0x94987
parallelLouvianMethod$omp$parallel_for@210,13.832490,78.8,6.9,27.5,13.8,27.5,0.0,624018720,0,48003360,48003360,0,0,249.333333,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x4325b3
func@0x404360,11.400692,1.0,27.7,0.0,0.0,0.0,0.0,13776413280,0,0,0,0,0,7.201923,driverForGraphClustering,func@0x404360,[Unknown],0x404360
kmp_flag_native<unsigned long long>::get,11.060763,1.4,2.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7.010000,libiomp5.so,kmp_flag_native<unsigned long long>::get(void),kmp_wait_release.h,0x6253a
free_perturb,10.119421,0.0,16.3,0.0,0.0,0.0,0.0,5088152640,0,0,0,0,0,7.302632,libc-2.29.so,free_perturb,malloc.c,0x95192
tcache_put,10.014828,12.9,14.3,0.0,0.0,0.0,2.9,7632228960,36673100160,0,0,0,0,8.692308,libc-2.29.so,tcache_put,malloc.c,0x95390
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",9.518009,3.7,30.1,0.0,0.0,0.0,0.0,0,1872056160,0,0,0,0,0.0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x4333cb
func@0x4043a0,9.361118,0.0,9.3,0.0,3.1,0.0,0.0,27168815040,0,0,0,0,0,7.288889,driverForGraphClustering,func@0x4043a0,[Unknown],0x4043a0
entry_SYSCALL_64,7.766067,17.2,0.0,0.0,0.0,0.0,10.7,480014400,672020160,0,0,0,0,16.000000,vmlinux,entry_SYSCALL_64,[Unknown],0xffffffffa8a00010
__memmove_avx_unaligned_erms,7.661474,53.3,45.1,,0.0,,15.0,1152034560,768023040,0,0,0,0,20.666667,libc-2.29.so,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x189080
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",7.661474,28.7,37.6,0.0,6.8,17.1,0.0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41f9b0
__kmpc_atomic_float8_sub,7.583029,63.9,23.5,23.5,7.8,19.6,0.0,1536046080,336010080,96006720,0,0,0,420.000000,libiomp5.so,__kmpc_atomic_float8_sub,kmp_atomic.cpp,0x45910
func@0x404080,7.243100,0.0,30.3,3.8,0.0,3.8,0.0,26064781920,0,0,0,0,0,7.308642,driverForGraphClustering,func@0x404080,[Unknown],0x404080
std::_Rb_tree_decrement,7.243100,12.1,53.3,0.0,0.0,4.8,0.0,0,0,0,0,0,0,0.0,libstdc++.so.6.0.26,std::_Rb_tree_decrement(std::_Rb_tree_node_base*),[Unknown],0xbcdf0
__gnu_cxx::new_allocator<double>::allocate,6.903171,0.0,47.6,4.0,0.0,0.0,0.0,432012960,10704321120,0,0,0,0,7.333333,driverForGraphClustering,"__gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)",new_allocator.h,0x43f3d7
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",6.903171,41.7,11.2,18.6,0.0,18.6,0.0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41f9b0
tcache_get,6.877023,6.8,35.6,0.0,0.0,0.0,0.0,9744292320,3744112320,0,0,0,0,7.388889,libc-2.29.so,tcache_get,malloc.c,0x974b8
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",6.615539,7.9,32.3,0.0,0.0,0.0,0.0,0,3408102240,0,0,0,0,0.0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x4333b7
func@0x95d60,6.380204,0.0,28.1,5.6,5.6,0.0,0.0,121059631680,0,0,0,0,0,8.594937,libstdc++.so.6.0.26,func@0x95d60,[Unknown],0x95d60
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",6.301758,3.2,17.4,0.0,0.0,0.0,0.0,0,1296038880,0,0,0,0,0.0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x4333df
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",5.700346,8.9,30.3,0.0,0.0,0.0,0.0,0,5712171360,0,0,0,0,0.0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x41fa43
"std::vector<double, std::allocator<double>>::_M_realloc_insert<double const&>",5.517307,0.8,18.2,0.0,0.0,0.0,0.0,0,8304249120,0,0,0,0,0.0,driverForGraphClustering,"void std::vector<double, std::allocator<double>>::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, double const&&&)",stl_vector.h,0x43f1e7
xas_load,5.412714,0.0,27.0,,13.5,,0.0,3312099360,2112063360,0,0,0,0,8.285714,vmlinux,xas_load,[Unknown],0xffffffffa8839ba0
task_tick_fair,5.308120,46.1,39.0,6.5,19.5,52.0,0.0,240007200,96002880,48003360,96006720,0,0,0.0,vmlinux,task_tick_fair,[Unknown],0xffffffffa7ed77c0
update_curr,5.125082,19.9,0.0,5.5,22.1,33.2,0.0,3840115200,4128123840,0,0,0,0,7.133333,vmlinux,update_curr,[Unknown],0xffffffffa7ed2fd0
"std::__copy_move<(bool)1, (bool)1, std::random_access_iterator_tag>::__copy_m<double>",5.020488,0.0,5.8,17.5,0.0,0.0,0.0,864025920,192005760,0,0,0,0,7.052632,driverForGraphClustering,"double* std::__copy_move<(bool)1, (bool)1, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)",stl_algobase.h,0x43f253
page_fault,4.654411,0.0,22.5,0.0,0.0,11.2,0.0,0,0,0,0,0,0,0.0,vmlinux,page_fault,[Unknown],0xffffffffa8a01070
_raw_spin_lock,4.628262,18.9,49.8,0.0,0.0,0.0,0.0,2352070560,1872056160,0,0,0,0,0.0,vmlinux,_raw_spin_lock,[Unknown],0xffffffffa8850560
"std::vector<double, std::allocator<double>>::_M_check_len",4.549817,12.4,0.0,7.6,0.0,0.0,0.0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::vector<double, std::allocator<double>>::_M_check_len(unsigned long, char const*) const",stl_vector.h,0x43f1e7
get_page_from_freelist,4.445224,,26.4,0.0,0.0,26.4,8.8,4416132480,2112063360,0,0,0,0,9.416667,vmlinux,get_page_from_freelist,[Unknown],0xffffffffa800f520
_intel_fast_memmove,4.236037,0.0,0.0,0.0,8.0,0.0,0.0,9312279360,240007200,0,0,0,0,10.700000,driverForGraphClustering,_intel_fast_memmove,[Unknown],0x46c100
"std::vector<double, std::allocator<double>>::operator[]",4.183740,5.6,14.7,7.4,0.0,7.4,0.0,13008390240,0,0,0,0,0,7.196429,driverForGraphClustering,"std::vector<double, std::allocator<double>>::operator[](unsigned long)",stl_vector.h,0x43ed14
__gnu_cxx::new_allocator<double>::deallocate,4.131443,1.1,13.9,6.9,0.0,0.0,0.0,1920057600,4032120960,0,0,0,0,7.333333,driverForGraphClustering,"__gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)",new_allocator.h,0x43f283
func@0x4042b0,4.131443,6.2,0.0,22.2,0.0,7.4,0.0,52129563840,0,0,0,0,0,7.482143,driverForGraphClustering,func@0x4042b0,[Unknown],0x4042b0
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_S_right",4.079147,0.0,27.1,0.0,0.0,0.0,0.0,8448253440,0,0,0,0,0,23.833333,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_S_right(std::_Rb_tree_node_base*)",stl_tree.h,0x41f9e9
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::construct<std::pair<long const, long>, std::piecewise_construct_t const&, std::tuple<long const&>, std::tuple<>>",4.052998,3.3,49.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,driverForGraphClustering,"void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::construct<std::pair<long const, long>, std::piecewise_construct_t const&, std::tuple<long const&>, std::tuple<>>(std::pair<long const, long>*, std::piecewise_construct_t const&&&)",new_allocator.h,0x43ee40
__schedule,4.026850,-0.0,0.0,0.0,0.0,0.0,0.0,6288188640,3744112320,0,0,0,0,8.230769,vmlinux,__schedule,[Unknown],0xffffffffa884a700
pick_next_task_fair,4.026850,0.0,6.2,12.3,0.0,0.0,0.0,7488224640,5088152640,0,0,0,0,8.187500,vmlinux,pick_next_task_fair,[Unknown],0xffffffffa7edac90
renumberClustersContiguously,3.896108,65.6,83.0,53.3,35.6,0.0,0.0,6048181440,96002880,0,0,0,0,17.941176,driverForGraphClustering,"renumberClustersContiguously(long*, long)",buildNextPhase.cpp,0x451cd0
sched_yield,3.739218,2.4,7.3,0.0,0.0,0.0,0.0,1872056160,0,0,0,0,0,0.0,libc-2.29.so,sched_yield,syscall-template.S,0x101860
clear_huge_page,3.686921,100.0,0.0,0.0,0.0,0.0,100.0,0,144004320,0,0,0,0,0.0,vmlinux,clear_huge_page,[Unknown],0xffffffffa804bbe0
apic_timer_interrupt,3.477734,69.1,7.7,30.9,23.2,7.7,0.0,0,48001440,0,0,0,0,0.0,vmlinux,apic_timer_interrupt,[Unknown],0xffffffffa8a01a60
entry_SYSCALL_64_after_hwframe,3.111657,35.8,0.0,0.0,0.0,0.0,50.8,1104033120,2208066240,0,0,0,0,7.200000,vmlinux,entry_SYSCALL_64_after_hwframe,[Unknown],0xffffffffa8a00048
generic_file_buffered_read,3.111657,0.0,0.0,0.0,0.0,0.0,0.0,1392041760,1200036000,0,0,0,0,7.833333,vmlinux,generic_file_buffered_read,[Unknown],0xffffffffa8005250
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_get_insert_hint_unique_pos",3.111657,0.0,23.2,0.0,0.0,0.0,0.0,5232156960,2592077760,0,0,0,0,7.888889,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<long const, long>>, long const&)",stl_tree.h,0x41fda0
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::end",3.007063,-0.0,0.0,0.0,0.0,0.0,0.0,2640079200,192005760,0,0,0,0,7.181818,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::end(void)",stl_tree.h,0x43eb9e
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",2.902470,0.0,12.1,0.0,0.0,0.0,0.0,0,864025920,0,0,0,0,0.0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x4333f3
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",2.797876,0.0,22.2,0.0,0.0,0.0,0.0,0,5856175680,0,0,0,0,0.0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x41fa2f
cpuacct_account_field,2.745579,76.2,0.0,,9.5,,0.0,0,0,0,0,0,0,0.0,vmlinux,cpuacct_account_field,[Unknown],0xffffffffa7eee2f0
try_charge,2.745579,95.2,14.4,0.0,0.0,0.0,43.2,576017280,528015840,0,0,0,0,8.000000,vmlinux,try_charge,[Unknown],0xffffffffa809fb50
func@0x4043d0,2.614838,0.0,16.7,0.0,0.0,0.0,0.0,28080842400,0,0,0,0,0,7.024390,driverForGraphClustering,func@0x4043d0,[Unknown],0x4043d0
trigger_load_balance,2.562541,93.4,0.0,0.0,92.2,0.0,0.0,192005760,0,0,0,0,0,7.000000,vmlinux,trigger_load_balance,[Unknown],0xffffffffa7edb5d0
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",2.536392,0.0,12.1,0.0,0.0,48.5,0.0,1440043200,1200036000,0,0,0,0,7.000000,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43f245
__pagevec_lru_add_fn,2.536392,-0.0,0.0,0.0,0.0,0.0,0.0,1920057600,672020160,0,0,0,0,0.0,vmlinux,__pagevec_lru_add_fn,[Unknown],0xffffffffa801a370
__calc_delta,2.510244,20.8,24.0,0.0,0.0,0.0,0.0,1584047520,96002880,0,0,0,0,7.000000,vmlinux,__calc_delta,[Unknown],0xffffffffa7ecdda0
get_max_fast,2.484096,0.0,30.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,libc-2.29.so,get_max_fast,malloc.c,0x9670a
"__gnu_cxx::__aligned_membuf<std::pair<long const, long>>::_M_addr",2.353354,46.1,38.6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,driverForGraphClustering,"__gnu_cxx::__aligned_membuf<std::pair<long const, long>>::_M_addr(void)",aligned_buffer.h,0x43ee3c
tcache_put,2.353354,-0.0,0.0,0.0,0.0,0.0,0.0,1632048960,3744112320,0,0,0,0,6.562500,libc-2.29.so,tcache_put,malloc.c,0x96e44
mem_cgroup_try_charge,2.301057,65.0,0.0,0.0,0.0,0.0,74.9,720021600,672020160,0,0,0,0,8.000000,vmlinux,mem_cgroup_try_charge,[Unknown],0xffffffffa80a1f70
find_get_entry,2.196464,,0.0,0.0,0.0,0.0,0.0,624018720,480014400,0,0,0,0,0.0,vmlinux,find_get_entry,[Unknown],0xffffffffa8004140
native_sched_clock,2.170315,0.0,11.5,0.0,11.5,0.0,0.0,1776053280,0,0,0,0,0,8.600000,vmlinux,native_sched_clock,[Unknown],0xffffffffa7e38f10
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",2.144167,10.3,17.8,0.0,17.8,17.8,0.0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43f759
__handle_mm_fault,2.118018,78.4,0.0,0.0,0.0,0.0,43.2,576017280,192005760,0,0,0,0,13.666667,vmlinux,__handle_mm_fault,[Unknown],0xffffffffa8048830
ktime_get_update_offsets_now,2.091870,30.9,0.0,59.3,0.0,39.5,0.0,48001440,48001440,0,0,0,0,0.0,vmlinux,ktime_get_update_offsets_now,[Unknown],0xffffffffa7f26be0
mark_page_accessed,2.091870,0.0,0.0,0.0,0.0,0.0,0.0,1920057600,384011520,0,0,0,0,7.500000,vmlinux,mark_page_accessed,[Unknown],0xffffffffa801adb0
cpuacct_charge,2.065722,0.0,31.4,0.0,0.0,15.7,0.0,2784083520,672020160,0,0,0,0,8.400000,vmlinux,cpuacct_charge,[Unknown],0xffffffffa7eee270
ktime_get,2.065722,100.0,35.6,0.0,71.1,0.0,0.0,0,144004320,0,0,0,0,942.000000,vmlinux,ktime_get,[Unknown],0xffffffffa7f25d90
ext4_mpage_readpages,2.039573,,0.0,0.0,0.0,0.0,0.0,2112063360,480014400,0,0,0,0,7.000000,vmlinux,ext4_mpage_readpages,[Unknown],0xffffffffa8197b80
update_min_vruntime,1.987277,0.0,19.8,19.8,0.0,39.5,0.0,1488044640,1104033120,0,0,0,0,7.000000,vmlinux,update_min_vruntime,[Unknown],0xffffffffa7ecde80
account_user_time,1.961128,,100.0,0.0,0.0,52.5,0.0,0,48001440,48003360,0,0,0,8.000000,vmlinux,account_user_time,[Unknown],0xffffffffa7eccfa0
main$omp$parallel@211,1.961128,19.2,41.0,0.0,41.0,0.0,0.0,384011520,288008640,0,0,0,0,0.0,driverForGraphClustering,main$omp$parallel@211,driverForGraphClustering.cpp,0x40583b
__kmpc_atomic_fixed8_add,1.908831,61.4,31.4,0.0,0.0,15.7,0.0,1872056160,576017280,0,0,0,0,243.600000,libiomp5.so,__kmpc_atomic_fixed8_add,kmp_atomic.cpp,0x458a0
do_syscall_64,1.673496,0.0,0.0,0.0,0.0,0.0,0.0,2688080640,3792113760,0,0,0,0,21.000000,vmlinux,do_syscall_64,[Unknown],0xffffffffa7e04210
syscall_return_via_sysret,1.647348,,74.9,,0.0,,0.0,4656139680,192005760,0,0,0,0,9.416667,vmlinux,syscall_return_via_sysret,[Unknown],0xffffffffa8a000f1
