Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",1311918710400,2002920168000,1421725298400,15360460800,7584227520,532095962400,50401512000,5660897760,0,0,1831682686464,1920002816,0,0,142080208384,0,96002880,0,0,298560437888,194880285824,0,338880497024,288020160,559680820864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501120734976,0,0,0,0,0,0,0,0,0,0,0,0,0,49920073216,2880004224,1820162669568,1797122635776,38401917120,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
malloc_consolidate,1203912230400,874372459200,616717000800,7584227520,48001440,275768272800,106755202560,3553065600,144004320,0,913921340416,67200098560,17280025344,2880004224,232320340736,0,4320129600,48001440,240007200,192000281600,188160275968,0,11520016896,12768893760,568320833536,32640047872,0,163200239360,672010080,0,0,1104033120,1296090720,0,0,0,0,0,0,0,0,0,0,0,0,9456283680,245760360448,11856355680,12720381600,120050400,0,0,0,0,0,0,0,0,0,4800007040,66240097152,11520016896,1248001830400,1144321678336,35708309280,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
operator new,857031418800,677800665600,504930294000,4368131040,48001440,60625818720,54241627200,3845953440,336010080,192005760,737281081344,22080032384,18240026752,17280025344,170880250624,1920002816,6096182880,96002880,0,212160311168,149760219648,0,1920002816,5760403200,558720819456,19200028160,0,94080137984,96001440,0,0,720021600,0,0,0,0,0,0,0,0,0,0,0,0,0,48001440,51840076032,0,0,0,0,0,0,48001440,0,0,0,0,0,10560015488,174720256256,18240026752,800641174272,788161155968,29087123520,libstdc++.so.6.0.26,operator new(unsigned long),[Unknown],0xa5a10
__intel_ssse3_rep_memmove,734804085600,682120924800,488549311200,5280158400,48001440,161428842720,145924377600,1608482400,1248037440,432012960,689281010944,48000070400,9600014080,17280025344,124800183040,960001408,2592077760,384011520,144004320,146880215424,114240167552,8640012672,17280025344,14160991200,481920706816,71040104192,2880004224,192000281600,9024135360,0,240007200,2208066240,0,0,0,0,0,0,0,0,0,0,0,0,0,10992329760,162240237952,8640259200,8832264960,0,0,0,0,0,0,0,0,0,0,1920002816,155520228096,72960107008,617280905344,748801098240,16795437120,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47c930
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",631657897200,3179470756800,2225113498800,24384731520,48001440,216150484320,194117823360,2400720000,240007200,288008640,3233284742144,2706243969152,2630403857920,2334723424256,2790724093056,0,624018720,720021600,0,146880215424,100800147840,0,4800007040,1488104160,373440547712,9600014080,0,2764804055040,384005760,0,0,1872056160,0,0,0,48001440,0,0,0,0,624043680,2304161280,0,0,0,720021600,173760254848,6000180000,480014400,0,3648255360,1488104160,0,0,0,0,0,0,0,4800007040,2769604062080,25920038016,794881165824,523200767360,57348399360,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43f03b
func@0xbcd30,599795985600,670840248000,492329538000,5328159840,48001440,200886026400,0,1459637760,384011520,336010080,691201013760,56640083072,38400056320,48960071808,161280236544,2880004224,38689160640,912027360,0,153600225280,100800147840,0,9600014080,18337283520,643200943360,109440160512,0,126720185856,480007200,0,0,816024480,0,0,0,0,0,0,0,0,0,0,0,0,0,288008640,187200274560,816024480,1056031680,0,0,0,0,0,0,0,0,0,0,5760008448,300480440704,5760008448,570240836352,596160874368,10371110400,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
kmp_flag_native<unsigned long long>::get,586835208000,212892772800,167590054800,1200036000,96002880,0,0,2832849600,0,0,205440301312,0,0,0,960001408,0,0,0,0,10560015488,71040104192,0,0,0,229440336512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,16320023936,151680222464,380160557568,19849152960,libiomp5.so,kmp_flag_native<unsigned long long>::get(void),kmp_wait_release.h,0x6253a
"std::vector<double, std::allocator<double>>::push_back",519871190400,405864350400,295037701200,3360100800,0,111315339360,8928267840,3029708640,48001440,48001440,458880673024,17280025344,22080032384,18240026752,103680152064,2880004224,0,528015840,48001440,100800147840,88320129536,0,960001408,0,310080454784,0,0,23040033792,96001440,0,0,1632048960,0,0,0,0,0,0,0,0,0,0,0,0,0,48001440,110400161920,48001440,48001440,24010080,0,0,0,0,0,0,0,0,0,1920002816,89280130944,3840005632,574080841984,408960599808,22345901760,driverForGraphClustering,"std::vector<double, std::allocator<double>>::push_back(double const&)",stl_vector.h,0x43ef57
"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[]",512490747600,443306596800,300618036000,3168095040,0,128163844800,130563916800,2880864000,96002880,336010080,410880602624,11520016896,6720009856,9600014080,86400126720,960001408,48001440,96002880,0,103680152064,92160135168,0,5760008448,13728960960,292800429440,13440019712,0,28800042240,96001440,0,0,1104033120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106560156288,0,48001440,0,0,0,0,0,0,0,0,0,0,960001408,81600119680,8640012672,623040913792,427200626560,20583773280,driverForGraphClustering,"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[](long const&)",stl_map.h,0x43ed1d
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",455967356400,606276374400,434906092800,5040151200,96002880,256327689600,0,7259777280,3216096480,1920057600,633600929280,123840181632,116160170368,96960142208,179520263296,960001408,50929527840,0,48001440,145920214016,87360128128,0,1920002816,25537787520,373440547712,76800112640,0,218880321024,0,0,0,48001440,0,0,0,0,0,0,0,0,0,0,144010080,0,0,0,260160381568,0,0,0,0,0,0,336010080,0,0,0,0,0,22080032384,270720397056,8640012672,497280729344,362880532224,59643487680,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43ecee
tcache_put,449486967600,262095724800,189551372400,2016060480,0,44209326240,345610368000,633790080,96002880,0,272640399872,6720009856,0,960001408,34560050688,960001408,96002880,0,0,56640083072,50880074624,14400021120,0,1248087360,105600154880,6720009856,0,17280025344,192002880,0,0,1440043200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38400056320,1200036000,1104033120,0,0,0,0,0,0,0,0,0,0,1920002816,28800042240,34560050688,333120488576,410880602624,4705411200,libc-2.29.so,tcache_put,malloc.c,0x95390
std::_Rb_tree_increment,431845909200,661239672000,488009278800,4416132480,0,274904246880,0,6880463520,7344220320,26832804960,689281010944,220800323840,207360304128,209280306944,292800429440,2880004224,10128303840,0,240007200,162240237952,76800112640,0,15360022528,15217065120,343680504064,46080067584,0,562560825088,0,0,0,1296038880,0,0,0,48001440,0,0,0,0,0,0,0,0,0,5664169920,263040385792,31728951840,47185415520,144060480,0,0,0,240007200,0,0,0,0,0,6720009856,381120558976,18240026752,426240625152,408000598400,53963384160,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",424105444800,376582593600,275776545600,2208066240,48001440,21600648000,637939137600,1354006080,288008640,192005760,376320551936,18240026752,17280025344,27840040832,112320164736,1920002816,11664349920,336010080,0,114240167552,56640083072,0,2880004224,4800336000,236160346368,11520016896,0,46080067584,0,0,0,768023040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18240026752,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,120000176000,5760008448,492480722304,405120594176,9746923200,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43ed6e
unlink_chunk,326539591200,217453046400,143648618400,1584047520,0,84386531520,140548216320,1570070880,144004320,0,192000281600,10560015488,0,0,48960071808,0,96002880,0,0,48000070400,45120066176,0,0,960067200,125760184448,960001408,0,19200028160,0,0,0,432012960,0,0,0,0,0,0,0,0,0,0,0,0,0,432012960,82560121088,336010080,624018720,72030240,0,0,0,0,0,0,0,0,0,0,5760008448,960001408,315840463232,250560367488,12310892160,libc-2.29.so,unlink_chunk,malloc.c,0x94987
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_get_insert_hint_unique_pos",258495508800,178330699200,146708802000,1584047520,0,92882786400,61249837440,1262778720,48001440,0,167040244992,0,960001408,0,25920038016,0,0,48001440,0,48000070400,53760078848,0,960001408,1632114240,138240202752,0,0,1920002816,96001440,0,0,240007200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84480123904,0,0,0,0,0,0,0,0,0,0,0,0,1920002816,21120030976,12480018304,211200309760,242880356224,9473241120,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<long const, long>>, long const&)",stl_tree.h,0x41fe50
operator delete,255615336000,333620016000,244634677200,2352070560,48001440,0,0,0,0,0,374400549120,5760008448,960001408,0,83520122496,1920002816,28704861120,0,48001440,72960107008,86400126720,0,4800007040,4128288960,346560508288,12480018304,0,15360022528,192002880,0,0,576017280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,28800042240,8640012672,408000598400,274560402688,0,libstdc++.so.6.0.26,operator delete(void*),[Unknown],0xa3d60
free_perturb,241574493600,102726163200,68584114800,912027360,0,18432552960,0,1171551360,0,0,97920143616,960001408,0,0,19200028160,0,96002880,0,0,25920038016,15360022528,0,0,0,73920108416,1920002816,0,0,0,0,0,624018720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20160029568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,164160240768,208320305536,8656996320,libc-2.29.so,free_perturb,malloc.c,0x95192
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::end",238874331600,227293636800,170470227600,1920057600,0,54289628640,0,1032309600,192005760,96002880,232320340736,1920002816,1920002816,960001408,40320059136,0,48001440,0,0,52800077440,40320059136,0,3840005632,7248507360,120000176000,4800007040,0,3840005632,0,0,0,336010080,0,0,0,0,0,0,0,0,0,0,0,0,0,240007200,44160064768,144004320,96002880,0,0,0,0,48001440,0,0,0,0,0,2880004224,48000070400,23040033792,139200204160,224640329472,9175551840,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::end(void)",stl_tree.h,0x43ec20
